id,ndex,species,forme,type1,type2,ability1,ability2,abilityH,hp,attack,defense,spattack,spdefense,speed,total,weight,height,class,percentmale,percentfemale,preevolution,egggroup1,egggroup2
1,1,Bulbasaur,Bulbasaur,Grass,Poison,Overgrow,,Chlorophyll,45,49,49,65,65,45,318,15.2 lbs.,"2'04""",Seed Pokemon,0.875,0.125,,Monster,Grass
2,2,Ivysaur,Ivysaur,Grass,Poison,Overgrow,,Chlorophyll,60,62,63,80,80,60,405,28.7 lbs.,"3'03""",Seed Pokemon,0.875,0.125,Bulbasaur,Monster,Grass
3,3,Venusaur,Venusaur,Grass,Poison,Overgrow,,Chlorophyll,80,82,83,100,100,80,525,220.5 lbs.,"6'07""",Seed Pokemon,0.875,0.125,Ivysaur,Monster,Grass
4,4,Charmander,Charmander,Fire,,Blaze,,Solar Power,39,52,43,60,50,65,309,18.7 lbs.,"2'00""",Lizard Pokemon,0.875,0.125,,Monster,Dragon
5,5,Charmeleon,Charmeleon,Fire,,Blaze,,Solar Power,58,64,58,80,65,80,405,41.9 lbs.,"3'07""",Flame Pokemon,0.875,0.125,Charmander,Monster,Dragon
6,6,Charizard,Charizard,Fire,Flying,Blaze,,Solar Power,78,84,78,109,85,100,534,199.5 lbs.,"5'07""",Flame Pokemon,0.875,0.125,Charmeleon,Monster,Dragon
7,7,Squirtle,Squirtle,Water,,Torrent,,Rain Dish,44,48,65,50,64,43,314,19.8 lbs.,"1'08""",Tiny Turtle Pokemon,0.875,0.125,,Monster,Water 1
8,8,Wartortle,Wartortle,Water,,Torrent,,Rain Dish,59,63,80,65,80,58,405,49.6 lbs.,"3'03""",Turtle Pokemon,0.875,0.125,Squirtle,Monster,Water 1
9,9,Blastoise,Blastoise,Water,,Torrent,,Rain Dish,79,83,100,85,105,78,530,188.5 lbs.,"5'03""",Shellfish Pokemon,0.875,0.125,Wartortle,Monster,Water 1
10,10,Caterpie,Caterpie,Bug,,Shield Dust,,Run Away,45,30,35,20,20,45,195,6.4 lbs.,"1'00""",Worm Pokemon,0.5,0.5,,Bug,
11,11,Metapod,Metapod,Bug,,Shed Skin,,,50,20,55,25,25,30,205,21.8 lbs.,"2'04""",Cocoon Pokemon,0.5,0.5,Caterpie,Bug,
12,12,Butterfree,Butterfree,Bug,Flying,Compound Eyes,,Tinted Lens,60,45,50,90,80,70,395,70.5 lbs.,"3'07""",Butterfly Pokemon,0.5,0.5,Metapod,Bug,
13,13,Weedle,Weedle,Bug,Poison,Shield Dust,,Run Away,40,35,30,20,20,50,195,7.1 lbs.,"1'00""",Hairy Bug Pokemon,0.5,0.5,,Bug,
14,14,Kakuna,Kakuna,Bug,Poison,Shed Skin,Shed Skin,,45,25,50,25,25,35,205,22.0 lbs.,"2'00""",Cocoon Pokemon,0.5,0.5,Weedle,Bug,
15,15,Beedrill,Beedrill,Bug,Poison,Swarm,Swarm,Sniper,65,90,40,45,80,75,395,65.0 lbs.,"3'03""",Poison Bee Pokemon,0.5,0.5,Kakuna,Bug,
16,16,Pidgey,Pidgey,Normal,Flying,Keen Eye,Tangled Feet,Big Pecks,40,45,40,35,35,56,251,4.0 lbs.,"1'00""",Tiny Bird Pokemon,0.5,0.5,,Flying,
17,17,Pidgeotto,Pidgeotto,Normal,Flying,Keen Eye,Tangled Feet,Big Pecks,63,60,55,50,50,71,349,66.1 lbs.,"3'07""",Bird Pokemon,0.5,0.5,Pidgey,Flying,
18,18,Pidgeot,Pidgeot,Normal,Flying,Keen Eye,Tangled Feet,Big Pecks,83,80,75,70,70,101,479,87.1 lbs.,"4'11""",Bird Pokemon,0.5,0.5,Pidgeotto,Flying,
19,19,Rattata,Rattata,Normal,,Run Away,Guts,Hustle,30,56,35,25,35,72,253,7.7 lbs.,"1'00""",Mouse Pokemon,0.5,0.5,,Field,
20,20,Raticate,Raticate,Normal,,Run Away,Guts,Hustle,55,81,60,50,70,97,413,40.8 lbs.,"2'04""",Mouse Pokemon,0.5,0.5,Rattata,Field,
21,21,Spearow,Spearow,Normal,Flying,Keen Eye,Keen Eye,Sniper,40,60,30,31,31,70,262,4.4 lbs.,"1'00""",Tiny Bird Pokemon,0.5,0.5,,Flying,
22,22,Fearow,Fearow,Normal,Flying,Keen Eye,Keen Eye,Sniper,65,90,65,61,61,100,442,83.8 lbs.,"3'11""",Beak Pokemon,0.5,0.5,Spearow,Flying,
23,23,Ekans,Ekans,Poison,,Intimidate,Shed Skin,Unnerve,35,60,44,40,54,55,288,15.2 lbs.,"6'07""",Snake Pokemon,0.5,0.5,,Field,Dragon
24,24,Arbok,Arbok,Poison,,Intimidate,Shed Skin,Unnerve,60,95,69,65,79,80,448,143.3 lbs.,"11'06""",Cobra Pokemon,0.5,0.5,Ekans,Field,Dragon
25,25,Pikachu,Pikachu,Electric,,Static,Static,Lightning Rod,35,55,40,50,50,90,320,13.2 lbs.,"1'04""",Mouse Pokemon,0.5,0.5,Pichu,Field,Fairy
26,26,Raichu,Raichu,Electric,,Static,Static,Lightning Rod,60,90,55,90,80,110,485,66.1 lbs.,"2'07""",Mouse Pokemon,0.5,0.5,Pikachu,Field,Fairy
27,27,Sandshrew,Sandshrew,Ground,,Sand Veil,,Sand Rush,50,75,85,20,30,40,300,26.5 lbs.,"2'00""",Mouse Pokemon,0.5,0.5,,Field,
28,28,Sandslash,Sandslash,Ground,,Sand Veil,,Sand Rush,75,100,110,45,55,65,450,65.0 lbs.,"3'03""",Mouse Pokemon,0.5,0.5,Sandshrew,Field,
29,29,Nidoran???,Nidoran???,Poison,,Poison Point,Rivalry,Hustle,55,47,52,40,40,41,275,15.4 lbs.,"1'04""",Poison Pin Pokemon,0,1,,Monster,Field
30,30,Nidorina,Nidorina,Poison,,Poison Point,Rivalry,Hustle,70,62,67,55,55,56,365,44.1 lbs.,"2'07""",Poison Pin Pokemon,0,1,Nidoran???,Undiscovered,
31,31,Nidoqueen,Nidoqueen,Poison,Ground,Poison Point,Rivalry,Sheer Force,90,92,87,75,85,76,505,132.3 lbs.,"4'03""",Drill Pokemon,0,1,Nidorina,Undiscovered,
32,32,Nidoran???,Nidoran???,Poison,,Poison Point,Rivalry,Hustle,46,57,40,40,40,50,273,19.8 lbs.,"1'08""",Poison Pin Pokemon,1,0,,Monster,Field
33,33,Nidorino,Nidorino,Poison,,Poison Point,Rivalry,Hustle,61,72,57,55,55,65,365,43.0 lbs.,"2'11""",Poison Pin Pokemon,1,0,Nidoran???,Monster,Field
34,34,Nidoking,Nidoking,Poison,Ground,Poison Point,Rivalry,Sheer Force,81,102,77,85,75,85,505,136.7 lbs.,"4'07""",Drill Pokemon,1,0,Nidorino,Monster,Field
35,35,Clefairy,Clefairy,Fairy,,Cute Charm,Magic Guard,Friend Guard,70,45,48,60,65,35,323,16.5 lbs.,"2'00""",Fairy Pokemon,0.25,0.75,Cleffa,Fairy,
